LGA_NAME16	FamilyComposition	families_with_children
Bridgetown-Greenbushes (S)	Intact family with other children present	3
Bridgetown-Greenbushes (S)	Other couple family with other children only	5
Bridgetown-Greenbushes (S)	Step family with no other children present	31
Brookton (S)	Blended family with no other children present	7
Brookton (S)	Intact family with no other children present	83
Brookton (S)	Step family with no other children present	8
Broome (S)	Blended family with no other children present	74
Broome (S)	Blended family with other children present	5
Broome (S)	Intact family with no other children present	1295
Broome (S)	Intact family with other children present	39
Broome (S)	Other couple family with other children only	32
Broome (S)	Step family with no other children present	110
Broome (S)	Step family with other children present	10
Broomehill-Tambellup (S)	Blended family with no other children present	3
Broomehill-Tambellup (S)	Intact family with no other children present	101
Broomehill-Tambellup (S)	Step family with no other children present	6
Bruce Rock (S)	Blended family with no other children present	3
Bruce Rock (S)	Intact family with no other children present	83
Bruce Rock (S)	Other couple family with other children only	3
Bruce Rock (S)	Step family with no other children present	3
Bunbury (C)	Blended family with no other children present	138
Bunbury (C)	Blended family with other children present	3
Bunbury (C)	Intact family with no other children present	2468
Bunbury (C)	Intact family with other children present	33
Bunbury (C)	Other couple family with other children only	22
Bunbury (C)	Step family with no other children present	246
Busselton (C)	Blended family with no other children present	199
Busselton (C)	Intact family with no other children present	3532
Busselton (C)	Intact family with other children present	33
Busselton (C)	Other couple family with other children only	19
Busselton (C)	Step family with no other children present	304
Busselton (C)	Step family with other children present	7
Cambridge (T)	Blended family with no other children present	53
Cambridge (T)	Intact family with no other children present	3555
Cambridge (T)	Intact family with other children present	15
Cambridge (T)	Other couple family with other children only	3
Cambridge (T)	Step family with no other children present	160
Canning (C)	Blended family with no other children present	261
Canning (C)	Blended family with other children present	4
Canning (C)	Intact family with no other children present	10531
Canning (C)	Intact family with other children present	173
Canning (C)	Other couple family with other children only	30
Canning (C)	Step family with no other children present	530
Canning (C)	Step family with other children present	14
Capel (S)	Blended family with no other children present	115
Capel (S)	Blended family with other children present	3
Capel (S)	Intact family with no other children present	1977
Capel (S)	Intact family with other children present	24
Capel (S)	Other couple family with other children only	15
Capel (S)	Step family with no other children present	163
Capel (S)	Step family with other children present	4
Carnamah (S)	Blended family with no other children present	3
Carnamah (S)	Intact family with no other children present	42
Carnamah (S)	Step family with no other children present	3
Carnarvon (S)	Blended family with no other children present	28
Carnarvon (S)	Intact family with no other children present	395
Carnarvon (S)	Intact family with other children present	11
Carnarvon (S)	Other couple family with other children only	16
Carnarvon (S)	Step family with no other children present	36
Chapman Valley (S)	Blended family with no other children present	8
Chapman Valley (S)	Intact family with no other children present	163
Chapman Valley (S)	Other couple family with other children only	6
Chapman Valley (S)	Step family with no other children present	13
Chittering (S)	Blended family with no other children present	42
Chittering (S)	Intact family with no other children present	598
Chittering (S)	Intact family with other children present	10
Chittering (S)	Other couple family with other children only	3
Chittering (S)	Step family with no other children present	43
Claremont (T)	Blended family with no other children present	8
Claremont (T)	Intact family with no other children present	990
Claremont (T)	Intact family with other children present	6
Claremont (T)	Step family with no other children present	74
Cockburn (C)	Blended family with no other children present	493
Cockburn (C)	Blended family with other children present	3
