SA2_NAME16	FamilyComposition	families_with_children
Truganina	Blended family with other children present	3
Truganina	Intact family with no other children present	3345
Truganina	Intact family with other children present	57
Truganina	Other couple family with other children only	10
Truganina	Step family with no other children present	107
Truganina	Step family with other children present	4
Werribee - South	Blended family with no other children present	46
Werribee - South	Intact family with no other children present	1199
Werribee - South	Intact family with other children present	10
Werribee - South	Other couple family with other children only	7
Werribee - South	Step family with no other children present	82
Werribee - South	Step family with other children present	4
Wyndham Vale	Blended family with no other children present	156
Wyndham Vale	Blended family with other children present	9
Wyndham Vale	Intact family with no other children present	2881
Wyndham Vale	Intact family with other children present	49
Wyndham Vale	Other couple family with other children only	10
Wyndham Vale	Step family with no other children present	205
